label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
open_palm,0.48908,0.7333,0.4278,0.67697,0.37969,0.60143,0.34908,0.53504,0.31429,0.49391,0.44468,0.46836,0.42079,0.37171,0.40849,0.31302,0.39859,0.26051,0.49069,0.46005,0.48667,0.3483,0.48228,0.27992,0.47579,0.22436,0.53213,0.48274,0.54095,0.38097,0.54376,0.31579,0.54354,0.25877,0.56814,0.52754,0.59335,0.46997,0.60788,0.42967,0.61767,0.38985
open_palm,0.48937,0.73185,0.42759,0.67626,0.37953,0.60068,0.34787,0.53451,0.31315,0.49296,0.44268,0.46782,0.42058,0.37265,0.40942,0.31385,0.40013,0.2609,0.48868,0.45899,0.48404,0.34737,0.48008,0.2783,0.47434,0.2212,0.53029,0.48141,0.53906,0.3797,0.54242,0.31431,0.54255,0.25683,0.56627,0.52588,0.59164,0.46704,0.60606,0.42618,0.61527,0.38617
open_palm,0.48932,0.72822,0.42673,0.67402,0.37731,0.59904,0.34531,0.53221,0.31206,0.4893,0.43949,0.46383,0.41643,0.36888,0.40487,0.3092,0.39568,0.25575,0.48551,0.454,0.48068,0.34378,0.47722,0.27546,0.4728,0.21924,0.52702,0.47571,0.53533,0.37628,0.53882,0.31181,0.53912,0.25491,0.56323,0.51969,0.58824,0.463,0.6021,0.42324,0.61097,0.38404
open_palm,0.48465,0.72167,0.42257,0.66896,0.37389,0.59553,0.34221,0.52989,0.30834,0.48876,0.43491,0.46093,0.41201,0.36515,0.40114,0.30475,0.3925,0.25115,0.48111,0.45087,0.47743,0.33941,0.47517,0.27068,0.47205,0.21377,0.52291,0.47201,0.5318,0.37433,0.53622,0.31008,0.53691,0.25439,0.55914,0.51541,0.58396,0.46021,0.59749,0.42127,0.6058,0.38381
open_palm,0.48465,0.72167,0.42257,0.66896,0.37389,0.59553,0.34221,0.52989,0.30834,0.48876,0.43491,0.46093,0.41201,0.36515,0.40114,0.30475,0.3925,0.25115,0.48111,0.45087,0.47743,0.33941,0.47517,0.27068,0.47205,0.21377,0.52291,0.47201,0.5318,0.37433,0.53622,0.31008,0.53691,0.25439,0.55914,0.51541,0.58396,0.46021,0.59749,0.42127,0.6058,0.38381
open_palm,0.48156,0.71955,0.4185,0.66596,0.36829,0.59356,0.33665,0.52809,0.30395,0.48525,0.42964,0.45674,0.40617,0.36203,0.39462,0.30275,0.38532,0.2496,0.47605,0.44651,0.47161,0.33548,0.46904,0.26719,0.46553,0.21095,0.51808,0.46806,0.52592,0.36975,0.52947,0.30505,0.5293,0.24839,0.55507,0.51183,0.57971,0.45496,0.59298,0.4157,0.60103,0.37766
open_palm,0.47888,0.72152,0.4164,0.66722,0.3662,0.59324,0.33427,0.52743,0.30023,0.48569,0.42724,0.45551,0.40373,0.36037,0.39181,0.30081,0.38231,0.24743,0.47332,0.44573,0.46761,0.33384,0.46393,0.26539,0.45955,0.20886,0.51534,0.46776,0.52272,0.36776,0.52582,0.30282,0.52561,0.24535,0.5524,0.51239,0.57673,0.45552,0.59033,0.41531,0.59886,0.37547
open_palm,0.48466,0.74895,0.42307,0.69352,0.37497,0.61919,0.34466,0.55556,0.31123,0.51429,0.43745,0.48506,0.41541,0.38925,0.40372,0.33027,0.39419,0.2777,0.48318,0.47669,0.47876,0.36371,0.47426,0.2946,0.46831,0.23785,0.525,0.49955,0.53372,0.39753,0.53636,0.3318,0.53563,0.2738,0.56145,0.54459,0.58678,0.48701,0.60104,0.44665,0.60991,0.40661
open_palm,0.48659,0.75043,0.42498,0.69621,0.37604,0.62201,0.34442,0.55555,0.31092,0.51224,0.43674,0.48636,0.41407,0.3908,0.40256,0.33073,0.39308,0.27716,0.4828,0.47716,0.47852,0.36439,0.47577,0.29559,0.47159,0.23935,0.52458,0.49969,0.53287,0.40016,0.53628,0.33445,0.53608,0.27654,0.56095,0.54453,0.58523,0.48808,0.59881,0.44807,0.60715,0.40903
open_palm,0.48316,0.75117,0.42204,0.69614,0.37381,0.62083,0.3426,0.55373,0.30866,0.51247,0.43569,0.48626,0.41357,0.39047,0.40194,0.32993,0.39244,0.2757,0.48154,0.47725,0.47661,0.36497,0.47327,0.29564,0.46874,0.23821,0.52358,0.49953,0.5316,0.39903,0.53507,0.333,0.53524,0.27453,0.56021,0.54415,0.58462,0.48662,0.59857,0.446,0.60745,0.40646
open_palm,0.48282,0.74876,0.4207,0.69421,0.37141,0.62012,0.33989,0.55412,0.30699,0.51118,0.43378,0.48255,0.41059,0.3869,0.399,0.327,0.3897,0.27345,0.47993,0.47284,0.4746,0.36112,0.47046,0.29209,0.46447,0.23565,0.52167,0.49467,0.53007,0.39304,0.53312,0.32758,0.53203,0.27031,0.55813,0.53904,0.58344,0.48178,0.59708,0.44186,0.6049,0.40285
open_palm,0.47765,0.74602,0.41672,0.69076,0.36806,0.61647,0.3369,0.5508,0.3037,0.50728,0.43005,0.47984,0.40765,0.38407,0.39591,0.32433,0.38613,0.27092,0.47612,0.4707,0.47122,0.35833,0.46652,0.289,0.46026,0.23138,0.51812,0.49306,0.52678,0.39152,0.52943,0.32609,0.52828,0.26768,0.55473,0.53806,0.58021,0.48096,0.59389,0.44068,0.60176,0.40048
open_palm,0.48025,0.74674,0.41866,0.69102,0.36982,0.61711,0.33788,0.55114,0.30529,0.50625,0.43216,0.47986,0.40837,0.38404,0.39647,0.32387,0.38648,0.27018,0.47787,0.47109,0.47268,0.35901,0.46897,0.28971,0.46359,0.23282,0.51944,0.49426,0.52692,0.39356,0.52992,0.32715,0.52916,0.26906,0.55603,0.53973,0.58099,0.48293,0.59442,0.44223,0.60226,0.4023
open_palm,0.48026,0.74835,0.41969,0.69365,0.37125,0.6191,0.34017,0.55299,0.3068,0.51094,0.43314,0.48277,0.4106,0.38798,0.3985,0.32886,0.38843,0.27586,0.47892,0.47442,0.4743,0.36223,0.46947,0.29336,0.46294,0.23643,0.52089,0.49749,0.52925,0.396,0.53149,0.33025,0.53011,0.27228,0.55744,0.54277,0.58226,0.48439,0.59608,0.44378,0.60445,0.40398
open_palm,0.483,0.74967,0.42221,0.69519,0.37441,0.62259,0.34373,0.55832,0.31206,0.51358,0.43643,0.48952,0.41412,0.39395,0.40258,0.33308,0.39311,0.27833,0.48189,0.48189,0.47782,0.36948,0.47521,0.30014,0.47181,0.24204,0.52256,0.50491,0.53144,0.40587,0.53508,0.3403,0.53543,0.28181,0.55776,0.54974,0.5825,0.49284,0.59629,0.45258,0.6049,0.41286
