label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
open_palm,0.42633,1.03959,0.36862,0.99877,0.32127,0.9308,0.27822,0.86004,0.24707,0.80182,0.38628,0.79027,0.36821,0.67976,0.35422,0.63919,0.33928,0.6264,0.44883,0.78495,0.44757,0.66055,0.43655,0.63687,0.42515,0.64504,0.50243,0.80596,0.51813,0.70409,0.50952,0.69267,0.5001,0.70318,0.54735,0.84266,0.56155,0.76441,0.5588,0.75724,0.5511,0.77117
open_palm,0.38548,0.94625,0.28667,0.8923,0.21157,0.79659,0.16324,0.70301,0.11709,0.6362,0.28343,0.60372,0.25691,0.47867,0.23934,0.40292,0.22127,0.33527,0.34666,0.58968,0.34221,0.44617,0.33616,0.35565,0.32892,0.27891,0.40286,0.61524,0.41734,0.48652,0.41973,0.40301,0.41713,0.32757,0.45238,0.66729,0.47933,0.5874,0.49247,0.53504,0.50062,0.48365
open_palm,0.381,0.93202,0.28252,0.87716,0.20159,0.78405,0.14761,0.68991,0.09523,0.62206,0.27285,0.58152,0.24178,0.45644,0.2241,0.37589,0.20781,0.30355,0.33722,0.56305,0.33283,0.41186,0.3294,0.31819,0.32522,0.23812,0.39549,0.58688,0.40587,0.45473,0.4095,0.36983,0.40918,0.29189,0.44714,0.64059,0.47442,0.55723,0.48976,0.50259,0.49999,0.44885
open_palm,0.38137,0.91764,0.27865,0.86616,0.1947,0.7697,0.13477,0.67639,0.08012,0.61096,0.26641,0.55914,0.2343,0.43097,0.21642,0.3482,0.20112,0.27601,0.3309,0.53889,0.32418,0.38247,0.32165,0.28954,0.31872,0.21349,0.39106,0.56343,0.3989,0.42702,0.40282,0.34492,0.4031,0.27075,0.44453,0.6189,0.47067,0.53348,0.48421,0.47929,0.49387,0.42668
open_palm,0.37988,0.90227,0.27775,0.85307,0.1907,0.75698,0.12869,0.66661,0.07099,0.60451,0.25998,0.54478,0.22765,0.41394,0.2093,0.32844,0.19228,0.25409,0.32463,0.52493,0.31612,0.36706,0.31275,0.27361,0.30948,0.19679,0.38577,0.54901,0.39324,0.40755,0.39803,0.3223,0.39887,0.24488,0.44106,0.60461,0.46912,0.5172,0.48437,0.46193,0.49484,0.40789
open_palm,0.37996,0.89925,0.27676,0.84626,0.18779,0.75046,0.12437,0.66255,0.06597,0.5993,0.25736,0.53596,0.22334,0.40147,0.20473,0.31377,0.18715,0.23675,0.32298,0.51571,0.3126,0.35702,0.3077,0.26045,0.30242,0.18035,0.38468,0.5397,0.39178,0.39705,0.39502,0.30941,0.39369,0.22934,0.44004,0.59564,0.46913,0.50961,0.4841,0.45323,0.49305,0.39804
open_palm,0.37957,0.89028,0.27548,0.83898,0.18659,0.74616,0.12188,0.65871,0.06315,0.59384,0.25649,0.52842,0.22221,0.3935,0.20285,0.30598,0.18462,0.22879,0.32323,0.50838,0.31237,0.35047,0.30571,0.2524,0.2986,0.17045,0.38546,0.53341,0.3943,0.39078,0.39742,0.30164,0.39589,0.21936,0.44076,0.5907,0.47236,0.50714,0.48913,0.45069,0.50055,0.39459
open_palm,0.3803,0.8793,0.27751,0.8275,0.18935,0.73567,0.12719,0.65085,0.06768,0.58894,0.2598,0.52126,0.22426,0.38505,0.20383,0.29672,0.18478,0.21915,0.32706,0.50309,0.31644,0.34451,0.30865,0.24757,0.30078,0.16619,0.3902,0.52876,0.39984,0.38415,0.40178,0.2945,0.39899,0.21275,0.44594,0.58659,0.47936,0.50247,0.49671,0.44788,0.50708,0.3944
open_palm,0.38379,0.87084,0.28083,0.81539,0.19398,0.72388,0.13105,0.64092,0.07175,0.58045,0.26764,0.51182,0.23443,0.37462,0.21413,0.28681,0.19465,0.20947,0.33537,0.49397,0.3272,0.33466,0.31931,0.23599,0.31109,0.15228,0.39883,0.52021,0.40966,0.37652,0.41168,0.28524,0.40862,0.20307,0.45403,0.57829,0.48946,0.49373,0.50782,0.43796,0.51851,0.38444
open_palm,0.39167,0.86162,0.28985,0.80512,0.20285,0.71402,0.13942,0.63088,0.0804,0.56816,0.27589,0.50081,0.24328,0.36154,0.22457,0.27234,0.20636,0.19383,0.34354,0.48308,0.33551,0.32159,0.32913,0.22225,0.32202,0.13866,0.40722,0.51047,0.41728,0.36514,0.42021,0.27361,0.41785,0.19132,0.46348,0.56988,0.49942,0.48361,0.5172,0.42575,0.52653,0.36939
